ticket_id,student_product_id,start_datetime,end_datetime,status
70236135,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236136,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236137,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236138,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236139,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236140,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236141,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236142,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236143,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236144,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236145,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236146,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236147,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236148,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
70236149,2993008,"2026-4-7, 01:00","2026-5-7, 00:59",0
