charge_id,target_ym,total,number_of_carried_over_lessons,number_of_lessons_taken,number_of_expired_lessons,number_of_remaining_lessons,paid_price,start_date,end_date,charge_paid_price
3001753,202604,15,0,0,15,0,14850,2026-4-3,2026-5-2,14850
3001753,202605,15,15,0,15,0,14850,2026-4-3,2026-5-2,14850
