id,student_id,teacher_id,result,complete,program_id,level_id,rank_id,lesson_id,lesson_date,lesson_taken_platform,time_table_id,lesson_datetime,product_id,teacher_time_table_id,student_book_id,student_book_created_at,ticket_id,ticket_type,status,reason,reason_sub_category,previous_complete,next_teacher_id,admin_id,unfilled,immediately_open,absent_checked,trainer_fault,revert_status,order_no,plan_id,contract_type,rate,peda_checker_checked,contact_with_student,alerted,sudden_absent,detail,evaluation_datetime,evaluation_date,evaluation_week_no,evaluation_month,evaluation_year,created_at,updated_at
41554,4282,2331,1,true,1,2,6,52,2026-4-27,2,1800,"2026-4-27, 18:00",16,180065,41453,"2026-4-25, 22:03",111392,3,true,0,,true,0,,false,false,false,false,0,10029118,20000214,1,1,false,false,false,false,,"2026-4-27, 18:40",20260427,202618,202604,2026,"2026-4-27, 18:40","2026-5-2, 22:05"
41759,4282,89,1,true,1,2,6,53,2026-5-2,2,2200,"2026-5-2, 22:00",16,180287,41530,"2026-4-27, 18:42",111393,3,true,0,,false,0,,false,false,false,false,0,10029118,20000214,1,1,false,false,false,false,,"2026-5-2, 22:41",20260502,202618,202605,2026,"2026-5-2, 22:41","2026-5-2, 22:43"
41800,4282,89,1,true,1,2,6,54,2026-5-4,2,2200,"2026-5-4, 22:00",16,180551,41699,"2026-5-2, 22:34",111394,3,true,0,,false,0,,false,false,false,false,0,10029118,20000214,1,1,false,false,false,false,,"2026-5-4, 23:06",20260504,202619,202605,2026,"2026-5-4, 23:06","2026-5-4, 23:06"
41934,4282,89,1,true,1,2,6,56,2026-5-9,2,2200,"2026-5-9, 22:00",16,181621,41742,"2026-5-4, 22:28",111395,3,true,0,,true,0,,false,false,false,false,0,10029118,20000214,1,1,false,false,false,false,,"2026-5-9, 23:00",20260509,202619,202605,2026,"2026-5-9, 23:00","2026-5-10, 00:00"
41935,4282,89,0,true,1,2,6,56,2026-5-9,2,2200,"2026-5-9, 22:00",16,181621,41742,"2026-5-4, 22:28",111395,3,true,0,,false,0,,false,false,false,false,0,10029118,20000214,1,1,false,false,false,false,,"2026-5-9, 23:01",20260509,202619,202605,2026,"2026-5-9, 23:01","2026-5-9, 23:01"
41936,4282,89,0,true,1,2,6,56,2026-5-9,2,2200,"2026-5-9, 22:00",16,181621,41742,"2026-5-4, 22:28",111395,3,true,0,,false,0,,false,false,false,false,0,10029118,20000214,1,1,false,false,false,false,,"2026-5-9, 23:01",20260509,202619,202605,2026,"2026-5-9, 23:01","2026-5-9, 23:01"
41991,4282,89,1,true,1,2,6,57,2026-5-11,2,2200,"2026-5-11, 22:00",16,182100,41898,"2026-5-9, 22:32",111396,3,true,0,,false,0,,false,false,false,false,0,10029118,20000214,1,1,false,false,false,false,,"2026-5-11, 22:37",20260511,202620,202605,2026,"2026-5-11, 22:37","2026-5-11, 22:37"
