charge_id,student_id,product_id,order_no,paid_price,paid_at,charge_start,charge_end,student_product_id,sp_start,sp_end,sp_order_no,ticket_id,ticket_start,ticket_end,ticket_type
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127451,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127450,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127464,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127463,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127462,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127461,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127460,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127459,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127457,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127456,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127455,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127454,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127453,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127452,"2026-4-3, 01:00","2026-5-3, 00:59",3
3001753,121073,29,,14850,"2026-4-3, 03:42",2026-4-3,2026-5-2,2987990,2026-4-3,2026-5-2,,70127458,"2026-4-3, 01:00","2026-5-3, 00:59",3
3026692,1236,29,,14107,"2026-4-2, 03:42",2026-4-2,2026-5-1,2986557,2026-4-2,2026-5-1,,70097489,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026692,1236,29,,14107,"2026-4-2, 03:42",2026-4-2,2026-5-1,2986557,2026-4-2,2026-5-1,,70097490,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026692,1236,29,,14107,"2026-4-2, 03:42",2026-4-2,2026-5-1,2986557,2026-4-2,2026-5-1,,70097488,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101099,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101098,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101097,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101096,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101095,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101094,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101093,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101091,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101090,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101089,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101088,"2026-4-2, 01:00","2026-5-2, 00:59",3
3026886,233228,29,,14850,"2026-4-2, 03:49",2026-4-2,2026-5-1,2986755,2026-4-2,2026-5-1,,70101087,"2026-4-2, 01:00","2026-5-2, 00:59",3
