student_id,ticket_id,lesson_datetime,lesson_date,result,student_product_id,charge_id
1236,70097488,"2026-4-5, 10:00",2026-4-5,1,2986557,3026692
1236,70097489,"2026-4-7, 18:30",2026-4-7,1,2986557,3026692
1236,70097490,"2026-4-12, 14:30",2026-4-12,1,2986557,3026692
67915,70126421,"2026-4-4, 18:30",2026-4-4,1,2987938,3028086
67915,70126422,"2026-4-6, 08:30",2026-4-6,1,2987938,3028086
67915,70126423,"2026-4-7, 09:00",2026-4-7,1,2987938,3028086
67915,70126424,"2026-4-9, 09:00",2026-4-9,1,2987938,3028086
67915,70126425,"2026-4-10, 09:00",2026-4-10,1,2987938,3028086
67915,70126426,"2026-4-12, 09:00",2026-4-12,1,2987938,3028086
67915,70126427,"2026-4-13, 09:00",2026-4-13,1,2987938,3028086
67915,70126428,"2026-4-18, 09:00",2026-4-18,1,2987938,3028086
67915,70126429,"2026-4-19, 09:00",2026-4-19,1,2987938,3028086
67915,70126430,"2026-4-20, 08:30",2026-4-20,1,2987938,3028086
67915,70126431,"2026-4-23, 18:30",2026-4-23,1,2987938,3028086
67915,70126432,"2026-4-25, 11:00",2026-4-25,1,2987938,3028086
67915,70126433,"2026-4-26, 18:00",2026-4-26,1,2987938,3028086
67915,70126434,"2026-4-29, 09:00",2026-4-29,1,2987938,3028086
67915,70126435,"2026-5-1, 10:30",2026-5-1,1,2987938,3028086
62241,70127576,"2026-4-4, 11:30",2026-4-4,1,2987998,3028147
62241,70127577,"2026-4-4, 15:00",2026-4-4,1,2987998,3028147
62241,70127578,"2026-4-4, 17:30",2026-4-4,1,2987998,3028147
62241,70127579,"2026-4-4, 20:30",2026-4-4,1,2987998,3028147
62241,70127580,"2026-4-13, 09:30",2026-4-13,1,2987998,3028147
62241,70127581,"2026-4-13, 17:30",2026-4-13,1,2987998,3028147
62241,70127582,"2026-5-1, 17:30",2026-5-1,1,2987998,3028147
62241,70127583,"2026-5-1, 19:30",2026-5-1,1,2987998,3028147
62241,70127584,"2026-5-2, 15:30",2026-5-2,1,2987998,3028147
62241,70127585,"2026-5-2, 20:00",2026-5-2,1,2987998,3028147
62241,70127586,"2026-5-2, 21:00",2026-5-2,1,2987998,3028147
