生徒ID,請求情報ID,支払日時,支払金額,合計,差引,11月売上,12月売上,01月売上,02月売上,03月売上,04月売上
S00000000567,2901232,"2025-12-25 03:20:21",17820,106920,-89100,0,24144,82776,0,0,0
S00000000602,2903696,"2025-12-26 03:16:01",11880,71280,-59400,0,13800,57480,0,0,0
S00000000933,2867084,"2025-12-01 04:21:21",13365,80190,-66825,0,80190,0,0,0,0
S00000000933,2867085,"2025-12-01 04:21:21",0,0,0,0,0,0,0,0,0
S00000000960,2880538,"2025-12-30 03:28:56",14107,84642,-70535,0,5466,79176,0,0,0
S00000000960,2909173,"2025-12-30 03:28:56",0,0,0,0,0,0,0,0,0
S00000001014,2909618,"2025-12-31 03:18:49",11880,71280,-59400,0,2304,68976,0,0,0
S00000001018,2867120,"2025-12-01 04:22:43",14107,84642,-70535,0,84642,0,0,0,0
S00000001018,2867121,"2025-12-01 04:22:43",0,0,0,0,0,0,0,0,0
S00000001022,2868052,"2025-12-02 03:20:10",11880,71280,-59400,0,68982,2298,0,0,0
S00000001051,2901382,"2025-12-25 03:26:41",13365,80190,-66825,0,18108,62082,0,0,0
S00000001051,2901383,"2025-12-25 03:26:42",0,0,0,0,0,0,0,0,0
S00000001057,2901297,"2025-12-25 03:23:38",13365,80190,-66825,0,18108,62082,0,0,0
S00000001057,2901298,"2025-12-25 03:23:38",0,0,0,0,0,0,0,0,0
S00000001141,2907734,"2025-12-29 03:17:02",11880,71280,-59400,0,6900,64380,0,0,0
S00000001192,2881046,"2025-12-13 03:35:37",14850,89100,-74250,0,54612,34488,0,0,0
S00000001192,2881047,"2025-12-13 03:35:37",0,0,0,0,0,0,0,0,0
S00000001236,2858116,"2025-12-02 03:49:40",14107,13167,940,0,0,13167,0,0,0
S00000001236,2868780,"2025-12-02 03:49:40",0,0,0,0,0,0,0,0,0
S00000001300,2883990,"2025-12-17 03:26:16",13365,80190,-66825,0,38802,41388,0,0,0
S00000001300,2883991,"2025-12-17 03:26:16",0,0,0,0,0,0,0,0,0
S00000001419,2889957,"2025-12-22 03:34:20",14107,84642,-70535,0,27306,57336,0,0,0
S00000001419,2889958,"2025-12-22 03:34:20",0,0,0,0,0,0,0,0,0
S00000001419,2889959,"2025-12-22 03:34:23",39600,237600,-198000,0,76650,160950,0,0,0
S00000001470,2877694,"2025-12-11 03:16:55",11880,71280,-59400,0,48288,22992,0,0,0
S00000001548,2874440,"2025-12-08 03:17:03",11880,71280,-59400,0,55188,16092,0,0,0
S00000001565,2881200,"2025-12-13 03:41:07",14850,89100,-74250,0,54612,34488,0,0,0
S00000001565,2881201,"2025-12-13 03:41:07",0,0,0,0,0,0,0,0,0
S00000001740,2901248,"2025-12-25 03:21:17",11880,71280,-59400,0,16098,55182,0,0,0
S00000001740,2901249,"2025-12-25 03:21:20",990,5940,-4950,0,1344,4596,0,0,0
S00000001792,2901189,"2025-12-25 03:17:48",11880,71280,-59400,0,16098,55182,0,0,0
S00000002019,2873667,"2025-12-07 03:16:48",11880,71280,-59400,0,57486,13794,0,0,0
S00000002025,2909104,"2025-12-30 03:26:28",13365,80190,-66825,0,5178,75012,0,0,0
S00000002025,2909105,"2025-12-30 03:26:28",0,0,0,0,0,0,0,0,0
S00000002234,2866111,"2025-12-01 03:43:30",11880,71280,-59400,0,71280,0,0,0,0
S00000002234,2868191,"2025-12-02 03:28:39",990,5940,-4950,0,5754,186,0,0,0
S00000002238,2880784,"2025-12-13 03:26:06",990,5940,-4950,0,3642,2298,0,0,0
S00000002238,2880785,"2025-12-13 03:26:10",11880,71280,-59400,0,43692,27588,0,0,0
S00000002284,2878590,"2025-12-12 03:22:00",13365,80190,-66825,0,51738,28452,0,0,0
S00000002284,2878591,"2025-12-12 03:22:00",0,0,0,0,0,0,0,0,0
S00000002337,2898276,"2025-12-24 03:18:12",17820,106920,-89100,0,27594,79326,0,0,0
S00000002433,2867619,"2025-12-01 09:59:52",7425,44550,-37125,0,44550,0,0,0,0
S00000002433,2867620,"2025-12-01 09:59:52",9900,59400,-49500,0,59400,0,0,0,0
S00000002433,2867621,"2025-12-01 09:59:52",0,0,0,0,0,0,0,0,0
S00000002582,2882161,"2025-12-15 03:22:51",13365,80190,-66825,0,43980,36210,0,0,0
S00000002582,2882162,"2025-12-15 03:22:51",0,0,0,0,0,0,0,0,0
S00000002659,2877161,"2025-12-10 03:29:50",12622,75732,-63110,0,53748,21984,0,0,0
S00000002659,2877162,"2025-12-10 03:29:50",0,0,0,0,0,0,0,0,0
S00000002716,2882869,"2025-12-16 03:18:48",11880,71280,-59400,0,36792,34488,0,0,0
S00000002716,2882870,"2025-12-16 03:18:50",990,5940,-4950,0,3066,2874,0,0,0
S00000002906,2881398,"2025-12-14 03:17:22",11880,71280,-59400,0,41394,29886,0,0,0
S00000003115,2909566,"2025-12-31 03:15:48",11880,71280,-59400,0,2304,68976,0,0,0
S00000003210,2881060,"2025-12-13 03:36:04",14107,84642,-70535,0,51882,32760,0,0,0
S00000003210,2881061,"2025-12-13 03:36:05",0,0,0,0,0,0,0,0,0
S00000003210,2881062,"2025-12-13 03:36:08",19800,118800,-99000,0,72816,45984,0,0,0
S00000003281,2882047,"2025-12-15 03:17:00",17820,106920,-89100,0,58638,48282,0,0,0
S00000003293,2874441,"2025-12-08 03:17:07",11880,71280,-59400,0,55188,16092,0,0,0
S00000003439,2875084,"2025-12-08 05:52:35",7425,44550,-37125,0,34494,10056,0,0,0
S00000003439,2875085,"2025-12-08 05:52:36",9900,59400,-49500,0,45990,13410,0,0,0
S00000003439,2875086,"2025-12-08 05:52:36",0,0,0,0,0,0,0,0,0
S00000003439,2881939,"2025-12-14 13:09:07",99000,594000,-495000,0,594000,0,0,0,0
S00000003489,2867334,"2025-12-01 04:30:07",14107,84642,-70535,0,84642,0,0,0,0
S00000003489,2867335,"2025-12-01 04:30:08",0,0,0,0,0,0,0,0,0
S00000003496,2888166,"2025-12-20 03:17:17",11880,71280,-59400,0,27594,43686,0,0,0
S00000003561,2884222,"2025-12-17 03:34:35",14850,89100,-74250,0,43116,45984,0,0,0
S00000003561,2884223,"2025-12-17 03:34:35",0,0,0,0,0,0,0,0,0
S00000003580,2877069,"2025-12-10 03:26:33",13365,80190,-66825,0,56910,23280,0,0,0
S00000003580,2877070,"2025-12-10 03:26:33",0,0,0,0,0,0,0,0,0
S00000003595,2866021,"2025-12-01 03:38:15",11880,71280,-59400,0,71280,0,0,0,0
S00000003617,2873206,"2025-12-06 03:31:01",11880,71280,-59400,0,59784,11496,0,0,0
S00000003644,2894924,"2025-12-23 03:16:55",11880,71280,-59400,0,20700,50580,0,0,0
S00000003802,2888756,"2025-12-21 03:17:19",11880,71280,-59400,0,25296,45984,0,0,0
S00000003833,2885894,"2025-12-18 03:32:56",14107,84642,-70535,0,38226,46416,0,0,0
S00000003833,2885895,"2025-12-18 03:32:56",0,0,0,0,0,0,0,0,0
S00000003970,2875814,"2025-12-09 03:18:50",11880,71280,-59400,0,52890,18390,0,0,0
S00000004088,2865456,"2025-12-01 03:16:21",14107,84642,-70535,0,84642,0,0,0,0
S00000004088,2865497,"2025-12-01 03:16:21",0,0,0,0,0,0,0,0,0
S00000004195,2883794,"2025-12-17 03:16:30",11880,71280,-59400,0,34494,36786,0,0,0
S00000004324,2895171,"2025-12-23 03:28:08",19305,115830,-96525,0,33630,82200,0,0,0
S00000004324,2895172,"2025-12-23 03:28:08",0,0,0,0,0,0,0,0,0
S00000004330,2885601,"2025-12-18 03:20:51",11880,71280,-59400,0,32196,39084,0,0,0
S00000004338,2868169,"2025-12-02 03:27:17",11880,71280,-59400,0,68982,2298,0,0,0
S00000004338,2868170,"2025-12-02 03:27:21",990,5940,-4950,0,5754,186,0,0,0
S00000004536,2903704,"2025-12-26 03:16:20",11880,71280,-59400,0,13800,57480,0,0,0
S00000004733,2907246,"2025-12-28 03:27:16",11880,71280,-59400,0,9198,62082,0,0,0
S00000004744,2889598,"2025-12-22 03:20:25",11880,71280,-59400,0,22998,48282,0,0,0
S00000004899,2909580,"2025-12-31 03:16:27",11880,71280,-59400,0,2304,68976,0,0,0
S00000004967,2877761,"2025-12-11 03:21:02",11880,71280,-59400,0,48288,22992,0,0,0
S00000005072,2898350,"2025-12-24 03:21:53",11880,71280,-59400,0,18396,52884,0,0,0
S00000005152,2875787,"2025-12-09 03:17:28",11880,71280,-59400,0,52890,18390,0,0,0
S00000005156,2875775,"2025-12-09 03:16:46",11880,71280,-59400,0,52890,18390,0,0,0
S00000005184,2873998,"2025-12-07 03:31:30",13365,80190,-66825,0,64674,15516,0,0,0
S00000005184,2873999,"2025-12-07 03:31:30",0,0,0,0,0,0,0,0,0
S00000005392,2869389,"2025-12-03 03:28:07",13365,80190,-66825,0,75018,5172,0,0,0
S00000005392,2869390,"2025-12-03 03:28:07",0,0,0,0,0,0,0,0,0
S00000005756,2873219,"2025-12-06 03:31:34",14107,84642,-70535,0,70992,13650,0,0,0
S00000005756,2873220,"2025-12-06 03:31:34",0,0,0,0,0,0,0,0,0
S00000005932,2888187,"2025-12-20 03:18:22",11880,71280,-59400,0,27594,43686,0,0,0
S00000005932,2888188,"2025-12-20 03:18:24",990,5940,-4950,0,2304,3636,0,0,0
S00000006166,2909567,"2025-12-31 03:15:51",11880,71280,-59400,0,2304,68976,0,0,0
S00000006203,2871916,"2025-12-05 03:21:46",11880,71280,-59400,0,62088,9192,0,0,0
S00000006300,2871881,"2025-12-05 03:19:35",11880,71280,-59400,0,62088,9192,0,0,0
S00000006601,2865985,"2025-12-01 03:36:33",11880,71280,-59400,0,71280,0,0,0,0
S00000006681,2889913,"2025-12-22 03:32:41",11880,71280,-59400,0,22998,48282,0,0,0
S00000006725,2907846,"2025-12-29 03:23:10",11880,71280,-59400,0,6900,64380,0,0,0
S00000007008,2881389,"2025-12-14 03:16:53",11880,71280,-59400,0,41394,29886,0,0,0
S00000007069,2868445,"2025-12-02 03:38:14",13365,80190,-66825,0,77604,2586,0,0,0
S00000007069,2868446,"2025-12-02 03:38:14",0,0,0,0,0,0,0,0,0
S00000007071,2876162,"2025-12-09 03:33:28",13365,80190,-66825,0,59496,20694,0,0,0
S00000007071,2876163,"2025-12-09 03:33:29",0,0,0,0,0,0,0,0,0
S00000007144,2868477,"2025-12-02 03:39:19",13365,80190,-66825,0,77604,2586,0,0,0
S00000007144,2868478,"2025-12-02 03:39:19",0,0,0,0,0,0,0,0,0
S00000007178,2872828,"2025-12-06 03:16:13",13365,80190,-66825,0,67260,12930,0,0,0
S00000007178,2872829,"2025-12-06 03:16:13",0,0,0,0,0,0,0,0,0
S00000007185,2898234,"2025-12-24 03:16:03",11880,71280,-59400,0,18396,52884,0,0,0
S00000007186,2888408,"2025-12-20 03:28:24",13365,80190,-66825,0,31044,49146,0,0,0
S00000007186,2888409,"2025-12-20 03:28:25",0,0,0,0,0,0,0,0,0
S00000007376,2876101,"2025-12-09 03:31:26",12622,75732,-63110,0,56190,19542,0,0,0
S00000007376,2876102,"2025-12-09 03:31:26",0,0,0,0,0,0,0,0,0
S00000007498,2881447,"2025-12-14 03:20:30",11880,71280,-59400,0,41394,29886,0,0,0
S00000007537,2878519,"2025-12-12 03:17:50",11880,71280,-59400,0,45990,25290,0,0,0
S00000007602,2869195,"2025-12-03 03:18:10",11880,71280,-59400,0,66684,4596,0,0,0
S00000007641,2889533,"2025-12-22 03:16:52",11880,71280,-59400,0,22998,48282,0,0,0
S00000007678,2880843,"2025-12-13 03:28:18",12622,75732,-63110,0,46422,29310,0,0,0
S00000007678,2880844,"2025-12-13 03:28:18",0,0,0,0,0,0,0,0,0
S00000007678,2901391,"2025-12-25 03:27:01",19800,118800,-99000,0,26826,91974,0,0,0
S00000007728,2883047,"2025-12-16 03:27:22",17820,106920,-89100,0,55188,51732,0,0,0
S00000007811,2882888,"2025-12-16 03:19:57",11880,71280,-59400,0,36792,34488,0,0,0
S00000007821,2882439,"2025-12-15 03:32:46",14107,84642,-70535,0,46422,38220,0,0,0
S00000007821,2882440,"2025-12-15 03:32:46",0,0,0,0,0,0,0,0,0
S00000007907,2882122,"2025-12-15 03:21:09",11880,71280,-59400,0,39090,32190,0,0,0
S00000008095,2867838,"2025-12-01 20:23:47",19800,118800,-99000,0,118800,0,0,0,0
S00000008095,2877693,"2025-12-11 03:16:52",11880,71280,-59400,0,48288,22992,0,0,0
S00000008104,2878189,"2025-12-11 03:36:39",14850,89100,-74250,0,60360,28740,0,0,0
S00000008104,2878190,"2025-12-11 03:36:39",0,0,0,0,0,0,0,0,0
S00000008104,2878191,"2025-12-11 03:36:42",19800,118800,-99000,0,80478,38322,0,0,0
S00000008246,2875791,"2025-12-09 03:17:42",11880,71280,-59400,0,52890,18390,0,0,0
S00000008301,2904056,"2025-12-26 03:30:57",20377,122262,-101885,0,23664,98598,0,0,0
S00000008301,2904057,"2025-12-26 03:30:57",0,0,0,0,0,0,0,0,0
S00000008319,2898081,"2025-12-23 19:32:29",0,0,0,0,0,0,0,0,0
S00000008319,2898082,"2025-12-23 19:32:30",7425,44550,-37125,0,12936,31614,0,0,0
S00000008492,2865986,"2025-12-01 03:36:35",11880,71280,-59400,0,71280,0,0,0,0
S00000008504,2869547,"2025-12-03 03:33:29",11880,71280,-59400,0,66684,4596,0,0,0
S00000008639,2876883,"2025-12-10 03:17:15",11880,71280,-59400,0,50586,20694,0,0,0
S00000008649,2873063,"2025-12-06 03:26:01",14107,84642,-70535,0,70992,13650,0,0,0
S00000008649,2873064,"2025-12-06 03:26:01",0,0,0,0,0,0,0,0,0
S00000008649,2873065,"2025-12-06 03:26:03",19800,118800,-99000,0,99642,19158,0,0,0
S00000008691,2874931,"2025-12-08 03:37:03",14107,84642,-70535,0,65532,19110,0,0,0
S00000008691,2874932,"2025-12-08 03:37:03",0,0,0,0,0,0,0,0,0
S00000008695,2884358,"2025-12-17 03:39:18",14107,84642,-70535,0,40956,43686,0,0,0
S00000008695,2884359,"2025-12-17 03:39:18",0,0,0,0,0,0,0,0,0
S00000008760,2873221,"2025-12-06 03:31:38",11880,71280,-59400,0,59784,11496,0,0,0
S00000008760,2873224,"2025-12-06 03:31:45",990,5940,-4950,0,4986,954,0,0,0
S00000008772,2888768,"2025-12-21 03:17:50",11880,71280,-59400,0,25296,45984,0,0,0
S00000008785,2903920,"2025-12-26 03:26:11",11880,71280,-59400,0,13800,57480,0,0,0
S00000008835,2868306,"2025-12-02 03:33:22",11880,71280,-59400,0,68982,2298,0,0,0
S00000009019,2869607,"2025-12-03 03:35:27",11880,71280,-59400,0,66684,4596,0,0,0
S00000009087,2909562,"2025-12-31 03:15:35",11880,71280,-59400,0,2304,68976,0,0,0
S00000009153,2871081,"2025-12-04 03:31:25",13365,80190,-66825,0,72432,7758,0,0,0
S00000009153,2871082,"2025-12-04 03:31:25",0,0,0,0,0,0,0,0,0
S00000009167,2888820,"2025-12-21 03:20:45",11880,71280,-59400,0,25296,45984,0,0,0
S00000009175,2866514,"2025-12-01 04:01:47",13365,80190,-66825,0,80190,0,0,0,0
S00000009175,2866515,"2025-12-01 04:01:48",0,0,0,0,0,0,0,0,0
S00000009193,2877163,"2025-12-10 03:29:53",14107,84642,-70535,0,60072,24570,0,0,0
S00000009193,2877164,"2025-12-10 03:29:53",0,0,0,0,0,0,0,0,0
S00000009359,2909089,"2025-12-30 03:25:58",12622,75732,-63110,0,4890,70842,0,0,0
S00000009359,2909090,"2025-12-30 03:25:58",0,0,0,0,0,0,0,0,0
S00000009465,2872471,"2025-12-05 03:43:14",14107,84642,-70535,0,73722,10920,0,0,0
S00000009465,2872472,"2025-12-05 03:43:14",0,0,0,0,0,0,0,0,0
S00000009665,2894939,"2025-12-23 03:17:44",28215,169290,-141075,0,49152,120138,0,0,0
S00000009665,2894940,"2025-12-23 03:17:44",0,0,0,0,0,0,0,0,0
S00000009830,2906534,"2025-12-27 03:24:03",13365,80190,-66825,0,12936,67254,0,0,0
S00000009830,2906535,"2025-12-27 03:24:04",0,0,0,0,0,0,0,0,0
S00000009940,2898275,"2025-12-24 03:18:09",11880,71280,-59400,0,18396,52884,0,0,0
S00000009956,2881454,"2025-12-14 03:20:56",11880,71280,-59400,0,41394,29886,0,0,0
S00000010046,2883995,"2025-12-17 03:26:28",13365,80190,-66825,0,38802,41388,0,0,0
S00000010046,2883996,"2025-12-17 03:26:28",0,0,0,0,0,0,0,0,0
S00000010075,2865993,"2025-12-01 03:36:54",11880,71280,-59400,0,71280,0,0,0,0
S00000010134,2889595,"2025-12-22 03:20:13",11880,71280,-59400,0,22998,48282,0,0,0
S00000010150,2878465,"2025-12-12 03:15:26",14850,89100,-74250,0,57486,31614,0,0,0
S00000010150,2878466,"2025-12-12 03:15:27",0,0,0,0,0,0,0,0,0
S00000010150,2878467,"2025-12-12 03:15:30",19800,118800,-99000,0,76650,42150,0,0,0
S00000010180,2906521,"2025-12-27 03:23:36",13365,80190,-66825,0,12936,67254,0,0,0
S00000010180,2906522,"2025-12-27 03:23:36",0,0,0,0,0,0,0,0,0
S00000010180,2908840,"2025-12-29 22:34:04",0,0,0,0,0,0,0,0,0
