生徒ID,請求情報ID,支払日時,支払金額,合計,差引,10月売上,11月売上,12月売上,01月売上,02月売上,03月売上
S00000000567,2857325,"2025-11-25 03:20:33",17820,17820,0,0,3564,14256,0,0,0
S00000000602,2859274,"2025-11-26 03:16:10",11880,11880,0,0,1980,9900,0,0,0
S00000000933,2832245,"2025-11-01 04:25:37",13365,13365,0,0,13365,0,0,0,0
S00000000933,2832246,"2025-11-01 04:25:37",0,0,0,0,0,0,0,0,0
S00000000960,2864817,"2025-11-30 03:29:10",20377,20377,0,0,680,19697,0,0,0
S00000000960,2864818,"2025-11-30 03:29:10",0,0,0,0,0,0,0,0,0
S00000001014,2865097,"2025-11-30 03:40:30",11880,11880,0,0,384,11496,0,0,0
S00000001018,2832293,"2025-11-01 04:27:10",14107,14107,0,0,14107,0,0,0,0
S00000001018,2832294,"2025-11-01 04:27:10",0,0,0,0,0,0,0,0,0
S00000001022,2832963,"2025-11-02 03:20:29",11880,11880,0,0,11484,396,0,0,0
S00000001051,2857486,"2025-11-25 03:27:15",14107,14107,0,0,2822,11285,0,0,0
S00000001051,2857487,"2025-11-25 03:27:15",0,0,0,0,0,0,0,0,0
S00000001057,2857391,"2025-11-25 03:23:54",13365,13365,0,0,2673,10692,0,0,0
S00000001057,2857392,"2025-11-25 03:23:54",0,0,0,0,0,0,0,0,0
S00000001141,2863953,"2025-11-29 03:17:03",11880,11880,0,0,792,11088,0,0,0
S00000001192,2846282,"2025-11-13 03:35:45",14850,14850,0,0,8910,5940,0,0,0
S00000001192,2846283,"2025-11-13 03:35:45",0,0,0,0,0,0,0,0,0
S00000001236,2833783,"2025-11-02 14:23:18",0,0,0,0,0,0,0,0,0
S00000001236,2833784,"2025-11-02 14:23:18",7425,7425,0,0,7178,247,0,0,0
S00000001300,2849423,"2025-11-17 03:26:38",13365,13365,0,0,6237,7128,0,0,0
S00000001300,2849424,"2025-11-17 03:26:39",0,0,0,0,0,0,0,0,0
S00000001419,2855680,"2025-11-22 03:35:55",14107,14107,0,0,4233,9874,0,0,0
S00000001419,2855681,"2025-11-22 03:35:55",0,0,0,0,0,0,0,0,0
S00000001419,2855682,"2025-11-22 03:35:58",39600,39600,0,0,11880,27720,0,0,0
S00000001470,2842577,"2025-11-11 03:16:53",11880,11880,0,0,7920,3960,0,0,0
S00000001548,2839897,"2025-11-08 03:17:05",11880,11880,0,0,9108,2772,0,0,0
S00000001565,2846466,"2025-11-13 03:42:02",14850,14850,0,0,8910,5940,0,0,0
S00000001565,2846467,"2025-11-13 03:42:03",0,0,0,0,0,0,0,0,0
S00000001740,2857341,"2025-11-25 03:21:28",11880,11880,0,0,2376,9504,0,0,0
S00000001740,2857342,"2025-11-25 03:21:30",990,990,0,0,198,792,0,0,0
S00000001792,2857279,"2025-11-25 03:17:46",11880,11880,0,0,2376,9504,0,0,0
S00000002019,2838901,"2025-11-07 03:16:50",11880,11880,0,0,9504,2376,0,0,0
S00000002025,2864747,"2025-11-30 03:26:47",13365,13365,0,0,446,12919,0,0,0
S00000002025,2864748,"2025-11-30 03:26:47",0,0,0,0,0,0,0,0,0
S00000002234,2831155,"2025-11-01 03:43:45",11880,11880,0,0,11880,0,0,0,0
S00000002234,2833106,"2025-11-02 03:28:59",990,990,0,0,957,33,0,0,0
S00000002238,2845994,"2025-11-13 03:25:57",990,990,0,0,594,396,0,0,0
S00000002238,2845995,"2025-11-13 03:26:00",11880,11880,0,0,7128,4752,0,0,0
S00000002284,2843871,"2025-11-12 03:22:19",13365,13365,0,0,8465,4900,0,0,0
S00000002284,2843872,"2025-11-12 03:22:19",0,0,0,0,0,0,0,0,0
S00000002293,2865451,"2025-11-30 22:21:10",0,0,0,0,0,0,0,0,0
S00000002293,2865452,"2025-11-30 22:21:11",7425,0,7425,0,0,0,0,0,0
S00000002337,2856711,"2025-11-24 03:18:16",17820,17820,0,0,4158,13662,0,0,0
S00000002582,2847951,"2025-11-15 03:22:46",13365,13365,0,0,7128,6237,0,0,0
S00000002582,2847952,"2025-11-15 03:22:47",0,0,0,0,0,0,0,0,0
S00000002622,1,"2025-11-30 06:59:23",0,0,0,0,0,0,0,0,0
S00000002659,2841688,"2025-11-10 03:30:46",12622,12622,0,0,8836,3786,0,0,0
S00000002659,2841689,"2025-11-10 03:30:46",0,0,0,0,0,0,0,0,0
S00000002716,2848533,"2025-11-16 03:18:50",11880,11880,0,0,5940,5940,0,0,0
S00000002716,2848534,"2025-11-16 03:18:53",990,990,0,0,495,495,0,0,0
S00000002906,2846626,"2025-11-14 03:17:41",11880,11880,0,0,6732,5148,0,0,0
S00000003115,2865044,"2025-11-30 03:37:24",11880,11880,0,0,384,11496,0,0,0
S00000003210,2846300,"2025-11-13 03:36:19",14107,14107,0,0,8465,5642,0,0,0
S00000003210,2846301,"2025-11-13 03:36:19",0,0,0,0,0,0,0,0,0
S00000003210,2846302,"2025-11-13 03:36:23",19800,19800,0,0,11880,7920,0,0,0
S00000003281,2847832,"2025-11-15 03:16:43",17820,17820,0,0,9504,8316,0,0,0
S00000003293,2839898,"2025-11-08 03:17:08",11880,11880,0,0,9108,2772,0,0,0
S00000003297,2862606,"2025-11-28 03:31:06",13365,13365,0,0,1337,12028,0,0,0
S00000003297,2862607,"2025-11-28 03:31:06",0,0,0,0,0,0,0,0,0
S00000003429,2848979,"2025-11-16 03:36:31",14107,14107,0,0,7054,7053,0,0,0
S00000003429,2848980,"2025-11-16 03:36:31",0,0,0,0,0,0,0,0,0
S00000003489,2832551,"2025-11-01 04:36:17",14107,14107,0,0,14107,0,0,0,0
S00000003489,2832552,"2025-11-01 04:36:18",0,0,0,0,0,0,0,0,0
S00000003496,2852576,"2025-11-20 03:17:20",11880,11880,0,0,4356,7524,0,0,0
S00000003561,2840609,"2025-11-17 03:35:41",14850,14850,0,0,6930,7920,0,0,0
S00000003561,2849684,"2025-11-17 03:35:41",0,0,0,0,0,0,0,0,0
S00000003580,2841590,"2025-11-10 03:27:23",13365,13365,0,0,9356,4009,0,0,0
S00000003580,2841591,"2025-11-10 03:27:23",0,0,0,0,0,0,0,0,0
S00000003595,2831063,"2025-11-01 03:38:20",11880,11880,0,0,11880,0,0,0,0
S00000003617,2837667,"2025-11-06 03:32:52",11880,11880,0,0,9900,1980,0,0,0
S00000003644,2856091,"2025-11-23 03:16:49",11880,11880,0,0,3168,8712,0,0,0
S00000003802,2853360,"2025-11-21 03:17:26",11880,11880,0,0,3960,7920,0,0,0
S00000003833,2850738,"2025-11-18 03:33:26",14107,14107,0,0,6114,7993,0,0,0
S00000003833,2850739,"2025-11-18 03:33:26",0,0,0,0,0,0,0,0,0
