生徒ID,請求情報ID,支払日時,支払金額,合計,差引,07月売上,08月売上,09月売上,10月売上,11月売上,12月売上
S00000000567,2739415,"2025-08-25 03:21:02",17820,0,17820,0,0,0,0,0,0
S00000000602,2742021,"2025-08-26 03:16:15",11880,0,11880,0,0,0,0,0,0
S00000000933,2714890,"2025-08-01 08:18:17",0,0,0,0,0,0,0,0,0
S00000000933,2714891,"2025-08-01 08:18:17",7425,0,7425,0,0,0,0,0,0
S00000000960,2746731,"2025-08-30 03:33:45",21450,0,21450,0,0,0,0,0,0
S00000000960,2746732,"2025-08-30 03:33:45",0,0,0,0,0,0,0,0,0
S00000001014,2747044,"2025-08-31 03:19:18",11880,0,11880,0,0,0,0,0,0
S00000001018,2715355,"2025-08-01 21:07:24",0,0,0,0,0,0,0,0,0
S00000001018,2715356,"2025-08-01 21:07:24",7425,0,7425,0,0,0,0,0,0
S00000001022,2715532,"2025-08-02 03:20:36",11880,0,11880,0,0,0,0,0,0
S00000001051,2739618,"2025-08-25 03:29:27",14107,0,14107,0,0,0,0,0,0
S00000001051,2739619,"2025-08-25 03:29:27",0,0,0,0,0,0,0,0,0
S00000001057,2739499,"2025-08-25 03:25:24",13365,0,13365,0,0,0,0,0,0
S00000001057,2739500,"2025-08-25 03:25:24",0,0,0,0,0,0,0,0,0
S00000001141,2745655,"2025-08-29 03:17:21",11880,0,11880,0,0,0,0,0,0
S00000001192,2727830,"2025-08-13 03:40:58",14850,0,14850,0,0,0,0,0,0
S00000001192,2727831,"2025-08-13 03:40:58",0,0,0,0,0,0,0,0,0
S00000001300,2731008,"2025-08-17 03:27:53",13365,0,13365,0,0,0,0,0,0
S00000001300,2731009,"2025-08-17 03:27:53",0,0,0,0,0,0,0,0,0
S00000001470,2725595,"2025-08-11 03:17:29",11880,0,11880,0,0,0,0,0,0
S00000001548,2722868,"2025-08-08 03:17:10",11880,0,11880,0,0,0,0,0,0
S00000001740,2739436,"2025-08-25 03:22:15",11880,0,11880,0,0,0,0,0,0
S00000001740,2739437,"2025-08-25 03:22:18",990,0,990,0,0,0,0,0,0
S00000001792,2739363,"2025-08-25 03:18:06",11880,0,11880,0,0,0,0,0,0
S00000002019,2721784,"2025-08-07 03:16:50",11880,0,11880,0,0,0,0,0,0
S00000002025,2746646,"2025-08-30 03:30:43",14107,0,14107,0,0,0,0,0,0
S00000002025,2746647,"2025-08-30 03:30:43",0,0,0,0,0,0,0,0,0
