生徒ID,請求情報ID,支払日時,支払金額,合計,差引,09月売上,10月売上,11月売上,12月売上,01月売上,02月売上
S00000000567,2823460,"2025-10-25 03:20:54",17820,0,17820,0,0,0,0,0,0
S00000000602,2824039,"2025-10-26 03:16:15",11880,0,11880,0,0,0,0,0,0
S00000000933,2795494,"2025-10-01 04:26:50",13365,0,13365,0,0,0,0,0,0
S00000000933,2795495,"2025-10-01 04:26:50",0,0,0,0,0,0,0,0,0
S00000000960,2828949,"2025-10-30 03:30:43",21450,0,21450,0,0,0,0,0,0
S00000000960,2828950,"2025-10-30 03:30:43",0,0,0,0,0,0,0,0,0
S00000001014,2829581,"2025-10-31 03:19:10",11880,0,11880,0,0,0,0,0,0
S00000001018,2795558,"2025-10-01 04:29:08",14107,0,14107,0,0,0,0,0,0
S00000001018,2795559,"2025-10-01 04:29:08",0,0,0,0,0,0,0,0,0
S00000001022,2796836,"2025-10-02 03:20:55",11880,0,11880,0,0,0,0,0,0
S00000001051,2823640,"2025-10-25 03:28:33",14107,0,14107,0,0,0,0,0,0
S00000001051,2823641,"2025-10-25 03:28:34",0,0,0,0,0,0,0,0,0
S00000001057,2823531,"2025-10-25 03:24:36",13365,0,13365,0,0,0,0,0,0
S00000001057,2823532,"2025-10-25 03:24:36",0,0,0,0,0,0,0,0,0
S00000001141,2827422,"2025-10-29 03:17:08",11880,0,11880,0,0,0,0,0,0
S00000001192,2812121,"2025-10-13 03:38:32",14850,0,14850,0,0,0,0,0,0
S00000001192,2812122,"2025-10-13 03:38:32",0,0,0,0,0,0,0,0,0
S00000001300,2816313,"2025-10-17 03:27:32",13365,0,13365,0,0,0,0,0,0
S00000001300,2816314,"2025-10-17 03:27:32",0,0,0,0,0,0,0,0,0
S00000001419,2820668,"2025-10-22 03:37:53",14107,0,14107,0,0,0,0,0,0
S00000001419,2820669,"2025-10-22 03:37:53",0,0,0,0,0,0,0,0,0
S00000001419,2820670,"2025-10-22 03:37:57",39600,0,39600,0,0,0,0,0,0
S00000001470,2810247,"2025-10-11 03:17:04",11880,0,11880,0,0,0,0,0,0
S00000001548,2806820,"2025-10-08 03:17:05",11880,0,11880,0,0,0,0,0,0
S00000001565,2812359,"2025-10-13 22:41:00",0,0,0,0,0,0,0,0,0
S00000001565,2812360,"2025-10-13 22:41:00",7425,0,7425,0,0,0,0,0,0
S00000001740,2823476,"2025-10-25 03:21:55",11880,0,11880,0,0,0,0,0,0
S00000001740,2823477,"2025-10-25 03:21:57",990,0,990,0,0,0,0,0,0
S00000001792,2823414,"2025-10-25 03:18:08",11880,0,11880,0,0,0,0,0,0
S00000002019,2805416,"2025-10-07 03:16:37",11880,0,11880,0,0,0,0,0,0
S00000002025,2828875,"2025-10-30 03:28:07",13365,0,13365,0,0,0,0,0,0
S00000002025,2828876,"2025-10-30 03:28:07",0,0,0,0,0,0,0,0,0
S00000002234,2794304,"2025-10-01 03:41:30",11880,0,11880,0,0,0,0,0,0
S00000002234,2796985,"2025-10-02 03:29:57",990,0,990,0,0,0,0,0,0
S00000002238,2811778,"2025-10-13 03:26:29",990,0,990,0,0,0,0,0,0
S00000002238,2811779,"2025-10-13 03:26:33",11880,0,11880,0,0,0,0,0,0
S00000002284,2811022,"2025-10-12 03:22:22",13365,0,13365,0,0,0,0,0,0
S00000002284,2811023,"2025-10-12 03:22:22",0,0,0,0,0,0,0,0,0
S00000002337,2822327,"2025-10-24 03:18:25",17820,0,17820,0,0,0,0,0,0
S00000002582,2813539,"2025-10-15 03:23:12",13365,0,13365,0,0,0,0,0,0
S00000002582,2813540,"2025-10-15 03:23:12",0,0,0,0,0,0,0,0,0
S00000002659,2809548,"2025-10-10 03:31:50",12622,0,12622,0,0,0,0,0,0
S00000002659,2809549,"2025-10-10 03:31:50",0,0,0,0,0,0,0,0,0
S00000002716,2814293,"2025-10-16 03:19:05",11880,0,11880,0,0,0,0,0,0
S00000002716,2814294,"2025-10-16 03:19:07",990,0,990,0,0,0,0,0,0
S00000002906,2812430,"2025-10-14 03:19:45",11880,0,11880,0,0,0,0,0,0
S00000003115,2829526,"2025-10-31 03:15:57",11880,0,11880,0,0,0,0,0,0
S00000003210,2812145,"2025-10-13 03:39:23",14107,0,14107,0,0,0,0,0,0
S00000003210,2812146,"2025-10-13 03:39:23",0,0,0,0,0,0,0,0,0
S00000003210,2812147,"2025-10-13 03:39:26",19800,0,19800,0,0,0,0,0,0
S00000003281,2813413,"2025-10-15 03:16:44",17820,0,17820,0,0,0,0,0,0
S00000003293,2806822,"2025-10-08 03:17:12",11880,0,11880,0,0,0,0,0,0
S00000003297,2826249,"2025-10-28 03:32:03",13365,0,13365,0,0,0,0,0,0
S00000003297,2826250,"2025-10-28 03:32:03",0,0,0,0,0,0,0,0,0
S00000003429,2814778,"2025-10-16 03:38:43",14107,0,14107,0,0,0,0,0,0
S00000003429,2814779,"2025-10-16 03:38:43",0,0,0,0,0,0,0,0,0
S00000003489,2796568,"2025-10-01 19:19:46",0,0,0,0,0,0,0,0,0
S00000003489,2796569,"2025-10-01 19:19:46",7425,0,7425,0,0,0,0,0,0
S00000003496,2818519,"2025-10-20 03:17:38",11880,0,11880,0,0,0,0,0,0
S00000003561,2816605,"2025-10-17 03:37:46",21450,0,21450,0,0,0,0,0,0
S00000003561,2816606,"2025-10-17 03:37:46",0,0,0,0,0,0,0,0,0
S00000003580,2809445,"2025-10-10 03:28:13",13365,0,13365,0,0,0,0,0,0
S00000003580,2809446,"2025-10-10 03:28:13",0,0,0,0,0,0,0,0,0
S00000003595,2794209,"2025-10-01 03:36:06",11880,0,11880,0,0,0,0,0,0
S00000003617,2804957,"2025-10-06 19:17:44",11880,0,11880,0,0,0,0,0,0
S00000003644,2821466,"2025-10-23 03:16:52",11880,0,11880,0,0,0,0,0,0
S00000003802,2819303,"2025-10-21 03:17:37",11880,0,11880,0,0,0,0,0,0
S00000003833,2817627,"2025-10-18 03:35:05",14107,0,14107,0,0,0,0,0,0
S00000003833,2817628,"2025-10-18 03:35:05",0,0,0,0,0,0,0,0,0
S00000003970,2808359,"2025-10-09 03:19:10",11880,0,11880,0,0,0,0,0,0
S00000004195,2816096,"2025-10-17 03:16:34",11880,0,11880,0,0,0,0,0,0
S00000004208,2814600,"2025-10-16 03:32:34",13365,0,13365,0,0,0,0,0,0
S00000004208,2814601,"2025-10-16 03:32:34",0,0,0,0,0,0,0,0,0
S00000004324,2821741,"2025-10-23 03:30:06",20377,0,20377,0,0,0,0,0,0
S00000004324,2821742,"2025-10-23 03:30:06",0,0,0,0,0,0,0,0,0
S00000004330,2817284,"2025-10-18 03:21:14",11880,0,11880,0,0,0,0,0,0
S00000004338,2796960,"2025-10-02 03:28:21",11880,0,11880,0,0,0,0,0,0
S00000004338,2796961,"2025-10-02 03:28:25",990,0,990,0,0,0,0,0,0
S00000004536,2824047,"2025-10-26 03:16:36",11880,0,11880,0,0,0,0,0,0
S00000004733,2826151,"2025-10-28 03:28:38",11880,0,11880,0,0,0,0,0,0
S00000004744,2820226,"2025-10-22 03:20:50",11880,0,11880,0,0,0,0,0,0
S00000004899,2829540,"2025-10-31 03:16:37",11880,0,11880,0,0,0,0,0,0
S00000004967,2810320,"2025-10-11 03:21:36",11880,0,11880,0,0,0,0,0,0
S00000005072,2822410,"2025-10-24 03:22:34",11880,0,11880,0,0,0,0,0,0
S00000005152,2808331,"2025-10-09 03:17:42",11880,0,11880,0,0,0,0,0,0
S00000005156,2808317,"2025-10-09 03:16:56",11880,0,11880,0,0,0,0,0,0
S00000005184,2805819,"2025-10-07 03:34:20",13365,0,13365,0,0,0,0,0,0
S00000005184,2805820,"2025-10-07 03:34:20",0,0,0,0,0,0,0,0,0
S00000005392,2799806,"2025-10-03 03:29:08",13365,0,13365,0,0,0,0,0,0
S00000005392,2799807,"2025-10-03 03:29:08",0,0,0,0,0,0,0,0,0
S00000005451,2802858,"2025-10-06 03:15:52",19305,0,19305,0,0,0,0,0,0
S00000005451,2802859,"2025-10-06 03:15:52",0,0,0,0,0,0,0,0,0
S00000005476,2795014,"2025-10-01 04:10:19",13365,0,13365,0,0,0,0,0,0
S00000005476,2795015,"2025-10-01 04:10:19",0,0,0,0,0,0,0,0,0
S00000005615,2811704,"2025-10-13 03:22:15",11880,0,11880,0,0,0,0,0,0
S00000005756,2804981,"2025-10-06 20:15:01",14107,0,14107,0,0,0,0,0,0
S00000005756,2804982,"2025-10-06 20:15:01",0,0,0,0,0,0,0,0,0
S00000005932,2818542,"2025-10-20 03:18:46",11880,0,11880,0,0,0,0,0,0
S00000005932,2818543,"2025-10-20 03:18:49",990,0,990,0,0,0,0,0,0
S00000006166,2829527,"2025-10-31 03:16:00",11880,0,11880,0,0,0,0,0,0
S00000006203,2802167,"2025-10-05 03:21:48",11880,0,11880,0,0,0,0,0,0
S00000006300,2802130,"2025-10-05 03:19:30",11880,0,11880,0,0,0,0,0,0
S00000006601,2794169,"2025-10-01 03:34:16",11880,0,11880,0,0,0,0,0,0
S00000006681,2820607,"2025-10-22 03:35:40",11880,0,11880,0,0,0,0,0,0
S00000006725,2827540,"2025-10-29 03:23:47",11880,0,11880,0,0,0,0,0,0
S00000007008,2812420,"2025-10-14 03:19:15",11880,0,11880,0,0,0,0,0,0
S00000007069,2797278,"2025-10-02 03:41:01",13365,0,13365,0,0,0,0,0,0
S00000007069,2797279,"2025-10-02 03:41:01",0,0,0,0,0,0,0,0,0
S00000007071,2808761,"2025-10-09 03:36:16",14107,0,14107,0,0,0,0,0,0
S00000007071,2808762,"2025-10-09 03:36:16",0,0,0,0,0,0,0,0,0
S00000007144,2797323,"2025-10-02 03:42:38",14107,0,14107,0,0,0,0,0,0
S00000007144,2797324,"2025-10-02 03:42:38",0,0,0,0,0,0,0,0,0
S00000007178,2802864,"2025-10-06 03:16:04",13365,0,13365,0,0,0,0,0,0
S00000007178,2802865,"2025-10-06 03:16:04",0,0,0,0,0,0,0,0,0
S00000007185,2822283,"2025-10-24 03:16:06",11880,0,11880,0,0,0,0,0,0
S00000007186,2818793,"2025-10-20 03:30:15",13365,0,13365,0,0,0,0,0,0
S00000007186,2818794,"2025-10-20 03:30:15",0,0,0,0,0,0,0,0,0
S00000007376,2808680,"2025-10-09 03:33:26",12622,0,12622,0,0,0,0,0,0
S00000007376,2808681,"2025-10-09 03:33:26",0,0,0,0,0,0,0,0,0
S00000007498,2812487,"2025-10-14 03:23:11",11880,0,11880,0,0,0,0,0,0
S00000007537,2810944,"2025-10-12 03:17:40",11880,0,11880,0,0,0,0,0,0
S00000007602,2799584,"2025-10-03 03:18:05",11880,0,11880,0,0,0,0,0,0
S00000007641,2820154,"2025-10-22 03:16:56",11880,0,11880,0,0,0,0,0,0
S00000007678,2811850,"2025-10-13 03:29:02",12622,0,12622,0,0,0,0,0,0
S00000007678,2811851,"2025-10-13 03:29:02",0,0,0,0,0,0,0,0,0
S00000007678,2823649,"2025-10-25 03:28:53",19800,0,19800,0,0,0,0,0,0
S00000007728,2814497,"2025-10-16 03:28:48",17820,0,17820,0,0,0,0,0,0
S00000007811,2814316,"2025-10-16 03:20:28",11880,0,11880,0,0,0,0,0,0
S00000007821,2813906,"2025-10-15 03:36:17",14107,0,14107,0,0,0,0,0,0
S00000007821,2813907,"2025-10-15 03:36:17",0,0,0,0,0,0,0,0,0
S00000007907,2813493,"2025-10-15 03:21:14",11880,0,11880,0,0,0,0,0,0
S00000008095,2810246,"2025-10-11 03:17:01",11880,0,11880,0,0,0,0,0,0
S00000008104,2810876,"2025-10-11 23:57:37",7425,0,7425,0,0,0,0,0,0
S00000008104,2810877,"2025-10-11 23:57:37",9900,0,9900,0,0,0,0,0,0
S00000008104,2810878,"2025-10-11 23:57:37",0,0,0,0,0,0,0,0,0
S00000008246,2808335,"2025-10-09 03:17:56",11880,0,11880,0,0,0,0,0,0
S00000008301,2824465,"2025-10-26 03:34:10",20377,0,20377,0,0,0,0,0,0
S00000008301,2824466,"2025-10-26 03:34:10",0,0,0,0,0,0,0,0,0
S00000008492,2794170,"2025-10-01 03:34:18",11880,0,11880,0,0,0,0,0,0
S00000008504,2799992,"2025-10-03 03:35:25",11880,0,11880,0,0,0,0,0,0
S00000008639,2809232,"2025-10-10 03:17:29",11880,0,11880,0,0,0,0,0,0
S00000008649,2804499,"2025-10-06 09:52:22",14850,0,14850,0,0,0,0,0,0
S00000008649,2804500,"2025-10-06 09:52:22",19800,0,19800,0,0,0,0,0,0
S00000008649,2804501,"2025-10-06 09:52:22",0,0,0,0,0,0,0,0,0
S00000008691,2807419,"2025-10-08 03:41:33",14107,0,14107,0,0,0,0,0,0
S00000008691,2807420,"2025-10-08 03:41:33",0,0,0,0,0,0,0,0,0
S00000008695,2812417,"2025-10-14 03:19:07",990,0,990,0,0,0,0,0,0
S00000008695,2814315,"2025-10-16 03:20:24",11880,0,11880,0,0,0,0,0,0
S00000008760,2804983,"2025-10-06 20:16:09",11880,0,11880,0,0,0,0,0,0
S00000008760,2804984,"2025-10-06 20:17:18",990,0,990,0,0,0,0,0,0
S00000008772,2819314,"2025-10-21 03:18:07",11880,0,11880,0,0,0,0,0,0
S00000008785,2824296,"2025-10-26 03:28:12",11880,0,11880,0,0,0,0,0,0
S00000008835,2797114,"2025-10-02 03:35:16",11880,0,11880,0,0,0,0,0,0
S00000009019,2800074,"2025-10-03 03:38:17",11880,0,11880,0,0,0,0,0,0
S00000009087,2829521,"2025-10-31 03:15:40",11880,0,11880,0,0,0,0,0,0
S00000009097,2797439,"2025-10-02 03:46:41",14107,0,14107,0,0,0,0,0,0
S00000009097,2797440,"2025-10-02 03:46:41",0,0,0,0,0,0,0,0,0
S00000009153,2801493,"2025-10-04 03:32:24",13365,0,13365,0,0,0,0,0,0
S00000009153,2801494,"2025-10-04 03:32:24",0,0,0,0,0,0,0,0,0
S00000009167,2819373,"2025-10-21 03:21:34",11880,0,11880,0,0,0,0,0,0
S00000009175,2794753,"2025-10-01 04:01:21",13365,0,13365,0,0,0,0,0,0
S00000009175,2794754,"2025-10-01 04:01:21",0,0,0,0,0,0,0,0,0
S00000009193,2809550,"2025-10-10 03:31:53",14107,0,14107,0,0,0,0,0,0
S00000009193,2809551,"2025-10-10 03:31:54",0,0,0,0,0,0,0,0,0
S00000009359,2828854,"2025-10-30 03:27:16",12622,0,12622,0,0,0,0,0,0
S00000009359,2828855,"2025-10-30 03:27:17",0,0,0,0,0,0,0,0,0
S00000009665,2821482,"2025-10-23 03:17:55",28215,0,28215,0,0,0,0,0,0
S00000009665,2821483,"2025-10-23 03:17:55",0,0,0,0,0,0,0,0,0
S00000009830,2824769,"2025-10-27 03:25:05",13365,0,13365,0,0,0,0,0,0
S00000009830,2824770,"2025-10-27 03:25:05",0,0,0,0,0,0,0,0,0
