生徒ID,請求情報ID,支払日時,支払金額,合計,差引,08月売上,09月売上,10月売上,11月売上,12月売上,01月売上
S00000004330,2767145,"2025-09-18 03:21:03",11880,0,11880,0,0,0,0,0,0
S00000004338,2750234,"2025-09-02 03:28:48",11880,0,11880,0,0,0,0,0,0
S00000004338,2750235,"2025-09-02 03:28:51",990,0,990,0,0,0,0,0,0
S00000004536,2783279,"2025-09-26 03:16:28",11880,0,11880,0,0,0,0,0,0
S00000004733,2788249,"2025-09-28 03:28:03",11880,0,11880,0,0,0,0,0,0
S00000004744,2772944,"2025-09-22 03:20:53",11880,0,11880,0,0,0,0,0,0
S00000004899,2790642,"2025-09-30 03:37:30",11880,0,11880,0,0,0,0,0,0
S00000004967,2759446,"2025-09-11 03:21:23",11880,0,11880,0,0,0,0,0,0
S00000005072,2776959,"2025-09-24 03:22:42",11880,0,11880,0,0,0,0,0,0
S00000005152,2757347,"2025-09-09 03:17:27",11880,0,11880,0,0,0,0,0,0
S00000005156,2757333,"2025-09-09 03:16:44",11880,0,11880,0,0,0,0,0,0
S00000005184,2755832,"2025-09-07 03:35:04",14107,0,14107,0,0,0,0,0,0
S00000005184,2755833,"2025-09-07 03:35:04",0,0,0,0,0,0,0,0,0
S00000005392,2751566,"2025-09-03 03:29:16",13365,0,13365,0,0,0,0,0,0
S00000005392,2751567,"2025-09-03 03:29:17",0,0,0,0,0,0,0,0,0
S00000005451,2754474,"2025-09-06 03:15:46",19305,0,19305,0,0,0,0,0,0
S00000005451,2754475,"2025-09-06 03:15:46",0,0,0,0,0,0,0,0,0
S00000005476,2748696,"2025-09-01 04:09:46",13365,0,13365,0,0,0,0,0,0
S00000005476,2748697,"2025-09-01 04:09:46",0,0,0,0,0,0,0,0,0
S00000005615,2761170,"2025-09-13 03:21:57",11880,0,11880,0,0,0,0,0,0
S00000005756,2754993,"2025-09-06 03:37:24",14850,0,14850,0,0,0,0,0,0
S00000005756,2754994,"2025-09-06 03:37:24",0,0,0,0,0,0,0,0,0
S00000005932,2771584,"2025-09-20 03:18:32",11880,0,11880,0,0,0,0,0,0
S00000005932,2771585,"2025-09-20 03:18:35",990,0,990,0,0,0,0,0,0
S00000006166,2790628,"2025-09-30 03:36:50",11880,0,11880,0,0,0,0,0,0
S00000006186,2788747,"2025-09-29 03:24:15",13365,0,13365,0,0,0,0,0,0
S00000006186,2788748,"2025-09-29 03:24:15",0,0,0,0,0,0,0,0,0
S00000006203,2753715,"2025-09-05 03:21:46",11880,0,11880,0,0,0,0,0,0
S00000006300,2753677,"2025-09-05 03:19:30",11880,0,11880,0,0,0,0,0,0
S00000006601,2747808,"2025-09-01 03:32:37",11880,0,11880,0,0,0,0,0,0
S00000006681,2773360,"2025-09-22 03:36:23",11880,0,11880,0,0,0,0,0,0
S00000006725,2788740,"2025-09-29 03:24:00",11880,0,11880,0,0,0,0,0,0
S00000007008,2761846,"2025-09-14 03:17:22",11880,0,11880,0,0,0,0,0,0
S00000007069,2750585,"2025-09-02 03:42:25",14107,0,14107,0,0,0,0,0,0
S00000007069,2750586,"2025-09-02 03:42:25",0,0,0,0,0,0,0,0,0
S00000007071,2757829,"2025-09-09 03:36:18",14107,0,14107,0,0,0,0,0,0
S00000007071,2757830,"2025-09-09 03:36:18",0,0,0,0,0,0,0,0,0
S00000007144,2750640,"2025-09-02 03:44:14",14107,0,14107,0,0,0,0,0,0
S00000007144,2750641,"2025-09-02 03:44:14",0,0,0,0,0,0,0,0,0
