生徒ID,請求情報ID,支払日時,支払金額,合計,差引,12月売上,01月売上,02月売上,03月売上,04月売上,05月売上
S00000000933,2911461,"2026-01-01 04:19:38",13365,13365,0,0,13365,0,0,0,0
S00000000933,2911462,"2026-01-01 04:19:39",0,0,0,0,0,0,0,0,0
S00000000939,2916236,"2026-01-06 00:38:14",7425,6228,1197,0,6228,0,0,0,0
S00000000939,2916237,"2026-01-06 00:38:15",9900,8304,1596,0,8304,0,0,0,0
S00000000939,2916238,"2026-01-06 00:38:15",0,0,0,0,0,0,0,0,0
S00000001022,2912273,"2026-01-02 08:23:19",11880,11497,383,0,11497,0,0,0,0
S00000001236,2912934,"2026-01-02 08:49:27",14107,0,14107,0,0,0,0,0,0
S00000001236,2912935,"2026-01-02 08:49:28",0,0,0,0,0,0,0,0,0
S00000002234,2910547,"2026-01-01 03:44:29",11880,11880,0,0,11880,0,0,0,0
S00000002234,2912408,"2026-01-02 08:31:20",990,959,31,0,959,0,0,0,0
S00000002433,2906327,"2026-01-01 04:34:44",14107,14107,0,0,14107,0,0,0,0
S00000002433,2911899,"2026-01-01 04:34:44",0,0,0,0,0,0,0,0,0
S00000003489,2911665,"2026-01-01 04:26:42",14107,14107,0,0,14107,0,0,0,0
S00000003489,2911666,"2026-01-01 04:26:42",0,0,0,0,0,0,0,0,0
S00000003595,2910460,"2026-01-01 03:39:25",11880,11880,0,0,11880,0,0,0,0
S00000003617,2916623,"2026-01-06 03:30:37",11880,9964,1916,0,9964,0,0,0,0
S00000004088,2909967,"2026-01-01 03:19:18",14107,14107,0,0,14107,0,0,0,0
S00000004088,2909968,"2026-01-01 03:19:18",0,0,0,0,0,0,0,0,0
S00000004338,2912388,"2026-01-02 08:30:08",11880,11497,383,0,11497,0,0,0,0
S00000004338,2912389,"2026-01-02 08:30:11",990,959,31,0,959,0,0,0,0
S00000005392,2913388,"2026-01-03 03:27:43",13365,12503,862,0,12503,0,0,0,0
S00000005392,2913389,"2026-01-03 03:27:43",0,0,0,0,0,0,0,0,0
S00000005756,2916635,"2026-01-06 03:31:08",14107,11832,2275,0,11832,0,0,0,0
S00000005756,2916636,"2026-01-06 03:31:08",0,0,0,0,0,0,0,0,0
S00000006203,2915010,"2026-01-05 03:21:22",11880,10348,1532,0,10348,0,0,0,0
S00000006300,2914977,"2026-01-05 03:19:19",11880,10348,1532,0,10348,0,0,0,0
S00000006601,2910424,"2026-01-01 03:37:45",11880,11880,0,0,11880,0,0,0,0
S00000007069,2912641,"2026-01-02 08:39:58",13365,12934,431,0,12934,0,0,0,0
S00000007069,2912642,"2026-01-02 08:39:58",0,0,0,0,0,0,0,0,0
S00000007144,2881959,"2026-01-02 08:40:59",13365,0,13365,0,0,0,0,0,0
S00000007144,2912671,"2026-01-02 08:40:59",0,0,0,0,0,0,0,0,0
S00000007178,2916274,"2026-01-06 03:16:06",13365,11210,2155,0,11210,0,0,0,0
S00000007178,2916275,"2026-01-06 03:16:07",0,0,0,0,0,0,0,0,0
S00000007602,2913206,"2026-01-03 03:18:27",11880,11114,766,0,11114,0,0,0,0
S00000008095,2881970,"2026-01-01 04:37:53",19800,19800,0,0,19800,0,0,0,0
S00000008492,2910425,"2026-01-01 03:37:47",11880,11880,0,0,11880,0,0,0,0
S00000008504,2913532,"2026-01-03 03:32:31",11880,11114,766,0,11114,0,0,0,0
S00000008649,2916495,"2026-01-06 03:25:46",14107,11832,2275,0,11832,0,0,0,0
S00000008649,2916496,"2026-01-06 03:25:47",0,0,0,0,0,0,0,0,0
S00000008649,2916497,"2026-01-06 03:25:49",19800,16607,3193,0,16607,0,0,0,0
S00000008760,2916637,"2026-01-06 03:31:12",11880,9964,1916,0,9964,0,0,0,0
S00000008760,2916640,"2026-01-06 03:31:21",990,831,159,0,831,0,0,0,0
S00000008835,2912516,"2026-01-02 08:35:40",11880,11497,383,0,11497,0,0,0,0
S00000009019,2913590,"2026-01-03 03:34:25",11880,11114,766,0,11114,0,0,0,0
S00000009153,2914307,"2026-01-04 03:29:59",13365,12072,1293,0,12072,0,0,0,0
S00000009153,2914308,"2026-01-04 03:29:59",0,0,0,0,0,0,0,0,0
S00000009175,2910935,"2026-01-01 04:01:42",13365,13365,0,0,13365,0,0,0,0
S00000009175,2910936,"2026-01-01 04:01:42",0,0,0,0,0,0,0,0,0
S00000009260,2916046,"2026-01-05 17:29:15",0,0,0,0,0,0,0,0,0
S00000009260,2916047,"2026-01-05 17:29:15",7425,6467,958,0,6467,0,0,0,0
S00000009465,2915500,"2026-01-05 03:40:32",14107,12287,1820,0,12287,0,0,0,0
S00000009465,2915501,"2026-01-05 03:40:32",0,0,0,0,0,0,0,0,0
S00000010075,2910432,"2026-01-01 03:38:07",11880,11880,0,0,11880,0,0,0,0
S00000010190,2873571,"2026-01-01 04:24:21",13365,13365,0,0,13365,0,0,0,0
S00000010190,2911600,"2026-01-01 04:24:21",0,0,0,0,0,0,0,0,0
S00000010274,2914154,"2026-01-04 03:22:56",11880,10731,1149,0,10731,0,0,0,0
S00000010654,2911337,"2026-01-01 04:15:35",14107,14107,0,0,14107,0,0,0,0
S00000010654,2911338,"2026-01-01 04:15:35",0,0,0,0,0,0,0,0,0
S00000011051,2916591,"2026-01-06 03:29:23",13365,11210,2155,0,11210,0,0,0,0
S00000011051,2916592,"2026-01-06 03:29:24",0,0,0,0,0,0,0,0,0
S00000011116,2910421,"2026-01-01 03:37:38",990,990,0,0,990,0,0,0,0
S00000011116,2910426,"2026-01-01 03:37:50",11880,11880,0,0,11880,0,0,0,0
S00000011394,2912250,"2026-01-02 08:21:59",11880,11497,383,0,11497,0,0,0,0
S00000011420,2914937,"2026-01-05 03:17:13",11880,10348,1532,0,10348,0,0,0,0
S00000011426,2912232,"2026-01-02 08:21:10",11880,11497,383,0,11497,0,0,0,0
S00000011505,2878313,"2026-01-04 03:38:25",13365,12072,1293,0,12072,0,0,0,0
S00000011505,2914563,"2026-01-04 03:38:25",0,0,0,0,0,0,0,0,0
S00000012542,2915557,"2026-01-05 06:17:29",0,0,0,0,0,0,0,0,0
S00000012542,2915558,"2026-01-05 06:17:30",7425,6467,958,0,6467,0,0,0,0
S00000012919,2912415,"2026-01-02 08:31:43",11880,11497,383,0,11497,0,0,0,0
S00000013015,2913888,"2026-01-03 03:44:46",19800,18523,1277,0,18523,0,0,0,0
S00000013197,2912260,"2026-01-02 08:22:33",17820,17246,574,0,17246,0,0,0,0
S00000013230,2911400,"2026-01-01 04:17:37",12622,12622,0,0,12622,0,0,0,0
S00000013230,2911401,"2026-01-01 04:17:37",0,0,0,0,0,0,0,0,0
S00000013339,2916387,"2026-01-06 03:21:36",11880,9964,1916,0,9964,0,0,0,0
S00000013521,2914941,"2026-01-05 03:17:24",11880,10348,1532,0,10348,0,0,0,0
S00000013710,2910632,"2026-01-01 03:49:40",11880,11880,0,0,11880,0,0,0,0
S00000013733,2915279,"2026-01-05 03:32:58",13365,11641,1724,0,11641,0,0,0,0
S00000013733,2915280,"2026-01-05 03:32:58",0,0,0,0,0,0,0,0,0
S00000014120,2911120,"2026-01-01 04:08:13",11880,11880,0,0,11880,0,0,0,0
S00000014424,2913561,"2026-01-03 03:33:30",13365,12503,862,0,12503,0,0,0,0
S00000014424,2913562,"2026-01-03 03:33:30",0,0,0,0,0,0,0,0,0
S00000014618,2910282,"2026-01-01 03:29:45",11880,11880,0,0,11880,0,0,0,0
S00000014816,2911505,"2026-01-01 04:21:12",13365,13365,0,0,13365,0,0,0,0
S00000014816,2911506,"2026-01-01 04:21:12",0,0,0,0,0,0,0,0,0
S00000014909,2910269,"2026-01-01 03:29:11",13365,13365,0,0,13365,0,0,0,0
S00000014909,2910270,"2026-01-01 03:29:11",0,0,0,0,0,0,0,0,0
S00000014961,2911947,"2026-01-01 04:36:23",14107,14107,0,0,14107,0,0,0,0
S00000014961,2911948,"2026-01-01 04:36:23",0,0,0,0,0,0,0,0,0
S00000015277,2913419,"2026-01-03 03:28:43",18232,17056,1176,0,17056,0,0,0,0
S00000015277,2913420,"2026-01-03 03:28:43",0,0,0,0,0,0,0,0,0
S00000015432,2915192,"2026-01-05 03:29:56",12622,10994,1628,0,10994,0,0,0,0
S00000015432,2915193,"2026-01-05 03:29:56",0,0,0,0,0,0,0,0,0
S00000015481,2914835,"2026-01-04 19:09:35",0,0,0,0,0,0,0,0,0
S00000015481,2914836,"2026-01-04 19:09:35",14107,12742,1365,0,12742,0,0,0,0
S00000015605,2910507,"2026-01-01 03:42:03",11880,11880,0,0,11880,0,0,0,0
S00000016508,2912084,"2026-01-01 10:31:07",0,0,0,0,0,0,0,0,0
S00000016508,2912085,"2026-01-01 10:31:07",14107,14107,0,0,14107,0,0,0,0
S00000016627,2916641,"2026-01-06 03:31:25",11880,9964,1916,0,9964,0,0,0,0
S00000017015,2916312,"2026-01-06 03:18:14",11880,9964,1916,0,9964,0,0,0,0
S00000017475,2910680,"2026-01-01 03:52:29",11880,11880,0,0,11880,0,0,0,0
S00000017761,2916295,"2026-01-06 03:17:13",11880,9964,1916,0,9964,0,0,0,0
S00000017868,2913180,"2026-01-03 03:16:49",11880,11114,766,0,11114,0,0,0,0
S00000017917,2913152,"2026-01-03 03:15:35",14107,13197,910,0,13197,0,0,0,0
S00000017917,2913153,"2026-01-03 03:15:35",0,0,0,0,0,0,0,0,0
S00000017951,2914993,"2026-01-05 03:20:17",11880,10348,1532,0,10348,0,0,0,0
S00000018938,2914168,"2026-01-04 03:23:48",11880,10731,1149,0,10731,0,0,0,0
S00000019484,2912230,"2026-01-02 08:21:03",11880,11497,383,0,11497,0,0,0,0
S00000019560,2869117,"2026-01-01 04:08:56",13365,13365,0,0,13365,0,0,0,0
S00000019560,2911141,"2026-01-01 04:08:56",0,0,0,0,0,0,0,0,0
S00000019775,2912238,"2026-01-02 08:21:27",11880,11497,383,0,11497,0,0,0,0
S00000019894,2916632,"2026-01-06 03:31:00",11880,9964,1916,0,9964,0,0,0,0
S00000020021,2910929,"2026-01-01 04:01:30",13365,13365,0,0,13365,0,0,0,0
S00000020021,2910930,"2026-01-01 04:01:31",0,0,0,0,0,0,0,0,0
S00000020146,2916642,"2026-01-06 03:31:29",11880,9964,1916,0,9964,0,0,0,0
S00000020252,2910831,"2026-01-01 03:58:24",12622,12622,0,0,12622,0,0,0,0
S00000020252,2910832,"2026-01-01 03:58:24",0,0,0,0,0,0,0,0,0
S00000020421,2914067,"2026-01-04 03:17:37",11880,10731,1149,0,10731,0,0,0,0
S00000020566,2916408,"2026-01-06 03:22:26",11880,9964,1916,0,9964,0,0,0,0
S00000020850,2915258,"2026-01-05 03:32:15",14107,0,14107,0,0,0,0,0,0
S00000020850,2915259,"2026-01-05 03:32:15",0,0,0,0,0,0,0,0,0
S00000020888,2912263,"2026-01-02 08:22:43",11880,11497,383,0,11497,0,0,0,0
S00000021547,2912391,"2026-01-02 08:30:20",11880,11497,383,0,11497,0,0,0,0
S00000021547,2912392,"2026-01-02 08:30:23",990,959,31,0,959,0,0,0,0
S00000021664,2911365,"2026-01-01 04:16:28",13365,13365,0,0,13365,0,0,0,0
S00000021664,2911366,"2026-01-01 04:16:28",0,0,0,0,0,0,0,0,0
S00000021797,2910420,"2026-01-01 03:37:35",990,990,0,0,990,0,0,0,0
S00000021797,2910422,"2026-01-01 03:37:40",17820,17820,0,0,17820,0,0,0,0
S00000021799,2910462,"2026-01-01 03:39:30",11880,11880,0,0,11880,0,0,0,0
S00000021837,2910436,"2026-01-01 03:38:20",11880,11880,0,0,11880,0,0,0,0
S00000021911,2913261,"2026-01-03 03:21:55",11880,11114,766,0,11114,0,0,0,0
S00000022010,2914054,"2026-01-04 03:17:00",11880,10731,1149,0,10731,0,0,0,0
S00000022065,2914508,"2026-01-04 03:36:37",17820,16096,1724,0,16096,0,0,0,0
S00000022263,2912282,"2026-01-02 08:23:56",11880,11497,383,0,11497,0,0,0,0
S00000022553,2915126,"2026-01-05 03:27:36",13365,11641,1724,0,11641,0,0,0,0
S00000022553,2915127,"2026-01-05 03:27:36",0,0,0,0,0,0,0,0,0
S00000022785,2912412,"2026-01-02 08:31:33",11880,11497,383,0,11497,0,0,0,0
S00000022885,2914202,"2026-01-04 03:25:50",13365,12072,1293,0,12072,0,0,0,0
S00000022885,2914203,"2026-01-04 03:25:50",0,0,0,0,0,0,0,0,0
S00000024033,2915035,"2026-01-05 03:22:48",11880,10348,1532,0,10348,0,0,0,0
S00000024243,2915005,"2026-01-05 03:21:04",11880,10348,1532,0,10348,0,0,0,0
S00000024351,2912941,"2026-01-02 08:49:41",17820,17246,574,0,17246,0,0,0,0
S00000024525,2914963,"2026-01-05 03:18:29",11880,10348,1532,0,10348,0,0,0,0
S00000024897,2910985,"2026-01-01 04:03:23",13365,13365,0,0,13365,0,0,0,0
S00000024897,2910986,"2026-01-01 04:03:23",0,0,0,0,0,0,0,0,0
S00000024964,2911151,"2026-01-01 04:09:20",13365,13365,0,0,13365,0,0,0,0
S00000024964,2911152,"2026-01-01 04:09:20",0,0,0,0,0,0,0,0,0
S00000025357,2910671,"2026-01-01 03:51:56",17820,17820,0,0,17820,0,0,0,0
S00000025579,2913563,"2026-01-03 03:33:32",13365,12503,862,0,12503,0,0,0,0
S00000025579,2913564,"2026-01-03 03:33:32",0,0,0,0,0,0,0,0,0
S00000025646,2914381,"2026-01-04 03:32:22",13365,12072,1293,0,12072,0,0,0,0
S00000025646,2914382,"2026-01-04 03:32:23",0,0,0,0,0,0,0,0,0
S00000025663,2916304,"2026-01-06 03:17:46",11880,9964,1916,0,9964,0,0,0,0
S00000026634,2911508,"2026-01-01 04:21:19",14850,14850,0,0,14850,0,0,0,0
S00000026634,2911509,"2026-01-01 04:21:20",0,0,0,0,0,0,0,0,0
S00000026634,2911510,"2026-01-01 04:21:23",19800,19800,0,0,19800,0,0,0,0
S00000027262,2914383,"2026-01-04 03:32:26",13365,12072,1293,0,12072,0,0,0,0
